iter	Accuracy	Logloss
0	0.8752897014	0.5896015109
1	0.8779872493	0.5153670589
2	0.884081428	0.4577179255
3	0.8850768611	0.4159611724
4	0.8851604471	0.3842708321
5	0.8871893071	0.3591277742
6	0.8876376319	0.3414477937
7	0.8880935555	0.3272081662
8	0.8892485619	0.316045726
9	0.8897272817	0.3062351172
10	0.8908063009	0.2984686845
11	0.8911862372	0.2918877124
12	0.8917333455	0.2871621357
13	0.8923336449	0.2828411021
14	0.8931847022	0.2789904178
15	0.8938381927	0.2756076191
16	0.8941421418	0.2723538207
17	0.8951527724	0.269723385
18	0.8957986641	0.2671948197
19	0.895996231	0.2649895565
20	0.8963229763	0.2628883602
21	0.8967561037	0.2609666542
22	0.8974323903	0.2590348561
23	0.897941505	0.2573149021
24	0.8986101929	0.2557147172
25	0.898997728	0.2541554645
26	0.8997044095	0.2522550111
27	0.8999019764	0.2511183782
28	0.9003351038	0.2493257614
29	0.9008366198	0.2480264831
30	0.9010265879	0.2467549282
31	0.9013837281	0.2456900973
32	0.9018244542	0.244752085
33	0.9022043905	0.2433687903
34	0.902470346	0.2425783595
35	0.9029034734	0.2416327336
36	0.9031770275	0.2407419313
37	0.9033973906	0.2399655849
38	0.9038761104	0.238653365
39	0.9041496645	0.2379439526
40	0.9043092378	0.2373588952
41	0.9044840085	0.236748296
42	0.9045751932	0.2363933969
43	0.9047955563	0.2358408715
44	0.9048487473	0.235307061
45	0.9050995053	0.2348964032
46	0.9055630276	0.234090864
47	0.9056542124	0.2336727115
48	0.9059049703	0.232917024
49	0.905996155	0.2323905154
50	0.9061709258	0.2319162035
51	0.9063836901	0.2315083359
52	0.9065508621	0.2310181142
53	0.9069004035	0.2304793467
54	0.9070599767	0.2301895562
55	0.9071891551	0.2297614896
56	0.9073639258	0.2292534138
57	0.9077590596	0.2286890155
58	0.9080022188	0.2280506631
59	0.9082909704	0.2275877047
60	0.9086253144	0.2270422735
61	0.9086405119	0.2266456704
62	0.9086785055	0.2263726209
63	0.9088380787	0.2260402657
64	0.9089064673	0.2256857227
65	0.9090888367	0.2253119752
66	0.9093016011	0.225028329
67	0.9094231807	0.2247357038
68	0.909552359	0.2243639154
69	0.9098639068	0.2238370505
70	0.9099474928	0.2236164055
71	0.9099398941	0.2233477341
72	0.9101450597	0.2229034461
73	0.9102894355	0.2225377425
74	0.910357824	0.2223431736
75	0.9105629896	0.22170166
76	0.910775754	0.2214505755
77	0.9109809196	0.2210943258
78	0.9111860852	0.2206787111
79	0.9112924674	0.2204708889
80	0.9113000661	0.2202404932
81	0.9115280279	0.219861477
82	0.9117635884	0.2195372103
83	0.9118623719	0.2191661935
84	0.9119383591	0.2189045569
85	0.9121435247	0.2186019139
86	0.9124018814	0.2182932601
87	0.91247027	0.2180416562
88	0.9126526394	0.2178608303
89	0.9127894165	0.2174926631
90	0.9129033974	0.2172092246
91	0.9129261936	0.2168388016
92	0.9131389579	0.2166247609
93	0.913192149	0.2164306075
94	0.9132301426	0.2162557329
95	0.9133669197	0.2160510273
96	0.9133897159	0.2158458469
97	0.9134809006	0.215601441
98	0.9136708688	0.2153028793
99	0.9137240598	0.2150200939
100	0.9139748178	0.2146220661
101	0.9141039962	0.2144357785
102	0.9141571873	0.2142105772
103	0.9142179771	0.2140545213
104	0.914468735	0.2134282349
105	0.9146207096	0.2131915019
106	0.9147422892	0.2129048578
107	0.9148106777	0.2127116542
108	0.9150462383	0.21231609
109	0.915137423	0.2121205416
110	0.915137423	0.211980262
111	0.9152134102	0.2118451619
112	0.9153197924	0.2116933952
113	0.915441372	0.2113756438
114	0.915441372	0.2111198249
115	0.9155857478	0.2109491801
116	0.9156769325	0.2107885086
117	0.91569213	0.2105660677
118	0.9157909134	0.2103721369
119	0.9159200918	0.2100478405
120	0.9160568689	0.2096946481
121	0.9161708498	0.2095183785
122	0.9162924294	0.2093034325
123	0.9164747988	0.2090450758
124	0.916664767	0.2089103913
125	0.9167863466	0.2086550029
126	0.9167635504	0.2084939603
127	0.9168395377	0.2083340754
128	0.9169231237	0.2081331989
129	0.9169611173	0.2079652107
130	0.9170599008	0.207778374
131	0.9171586842	0.2075158469
132	0.9172498689	0.2073095682
133	0.91730306	0.2071243789
134	0.9173410536	0.2069203561
135	0.9174018435	0.2067702516
136	0.9175234231	0.2066187223
137	0.9176070091	0.2064137199
138	0.9175918116	0.2062988782
139	0.9176677989	0.2060830714
140	0.9176298052	0.2059380426
141	0.9177361874	0.2057259313
142	0.9177969772	0.2055367052
143	0.9179033594	0.2053998094
144	0.9180173403	0.2052497939
145	0.9181617161	0.2050210158
146	0.9182225059	0.2048893145
147	0.9184580664	0.2046462294
148	0.9184960601	0.2044731951
149	0.9184808626	0.204256201
150	0.9185720473	0.2040945648
151	0.9187848117	0.2036683089
152	0.9188835951	0.2034941022
153	0.9188683977	0.2033686193
154	0.9189443849	0.203225223
155	0.9189899773	0.203089099
156	0.9190355696	0.2029263497
157	0.9191875442	0.2027487295
158	0.9192787289	0.2025862918
159	0.9193699136	0.2023839758
160	0.9193699136	0.2021649187
161	0.9194838945	0.2019501211
162	0.9195294869	0.2018104945
163	0.9195978754	0.2016724411
164	0.9195978754	0.2015299056
165	0.9196054741	0.2014203474
166	0.9197346525	0.2012359447
167	0.9198790283	0.2010377545
168	0.9199398181	0.2008703451
169	0.9200082066	0.2007063936
170	0.920053799	0.2005528014
171	0.9201829773	0.2003883751
172	0.920304557	0.2002104135
173	0.9203881429	0.2000506176
174	0.9204793277	0.1998712164
175	0.9205933086	0.1996709187
176	0.920692092	0.199518499
177	0.9207680793	0.1993573526
178	0.9208440665	0.1992159895
179	0.9209048563	0.1990562975
180	0.9210036398	0.1989008798
181	0.9211480156	0.1983212246
182	0.9212619965	0.1981797132
183	0.9213455825	0.1980238354
184	0.9213987736	0.1978901305
185	0.9215279519	0.1977197676
186	0.9215507481	0.1975031297
187	0.9216419328	0.1973840138
188	0.9216875252	0.1972160107
189	0.9218546972	0.1969913288
190	0.9219078882	0.1968027557
191	0.9219762768	0.1966364148
192	0.9221206526	0.1964778211
193	0.92213585	0.1962850183
194	0.9223258182	0.1959014607
195	0.9224929902	0.1957496791
196	0.9226145698	0.1955923914
197	0.9226525634	0.1955037445
198	0.9227437481	0.1953738241
199	0.922857729	0.1950332171
200	0.9228805252	0.1948310049
201	0.9229565125	0.1946289114
202	0.9230097036	0.1945106859
203	0.9232072705	0.1943221277
204	0.9233212514	0.194059467
205	0.923359245	0.1939349785
206	0.9234352323	0.1938129537
207	0.9234276335	0.1937636362
208	0.9235188182	0.1936470284
209	0.9235036208	0.1934537209
210	0.9235568119	0.1932602057
211	0.9236783915	0.1931420396
212	0.9237011877	0.1929910149
213	0.923913952	0.1928210676
214	0.9239215507	0.1926889655
215	0.9239291495	0.1925873325
216	0.9240431304	0.1924598461
217	0.9241191176	0.1923339031
218	0.9241039202	0.1922090733
219	0.9242406973	0.1920373747
220	0.9242558947	0.191909814
221	0.924331882	0.1917733338
222	0.9244230667	0.1916614604
223	0.9244610603	0.1915030596
224	0.9246966208	0.1913502391
225	0.9247726081	0.1911705262
226	0.9248637928	0.1909686108
227	0.9249397801	0.190850697
228	0.9250233661	0.1907193518
229	0.9251069521	0.1905964959
230	0.9253273151	0.1902481418
231	0.9253957037	0.1901560666
232	0.9254640922	0.1900553983
233	0.9254640922	0.1899619874
234	0.9255552769	0.1898652075
235	0.9255704744	0.1897964182
236	0.9255932706	0.1897223752
237	0.9256768566	0.1896151322
238	0.9257300476	0.1895058857
239	0.925859226	0.1893533917
240	0.9258972196	0.1892531984
241	0.9259352133	0.1890342749
242	0.9260112005	0.1889247464
243	0.9260112005	0.1887816469
244	0.9260567929	0.1886655734
245	0.9261707738	0.1885595623
246	0.9262695572	0.1884705889
247	0.9263227483	0.1883148298
248	0.9263911368	0.188216922
249	0.9264595254	0.1881151258
250	0.9265127165	0.1879715663
251	0.9265431114	0.1878647389
252	0.9267710732	0.1876644709
253	0.9269610413	0.187509068
254	0.9268622579	0.1873883492
255	0.9269382452	0.1872484406
256	0.9270370286	0.1870160116
257	0.9271738057	0.1868986914
258	0.9272649904	0.1867946542
259	0.9273713726	0.1866760873
260	0.9273105827	0.1865457662
261	0.9273409777	0.1864703132
262	0.9274473598	0.186357104
263	0.9275309458	0.1861932417
264	0.9275689394	0.1861025616
265	0.9276677229	0.1859913263
266	0.927720914	0.1859046088
267	0.9277133152	0.1858382683
268	0.9277437102	0.1857458815
269	0.9277741051	0.1856770774
270	0.9278652898	0.1855778487
271	0.928108449	0.1846940664
272	0.928192035	0.1845031632
