iter	Passed	Remaining
0	297	594539
1	409	408974
2	533	354837
3	649	324160
4	760	303547
5	867	288360
6	985	280567
7	1098	273597
8	1215	268965
9	1329	264635
10	1445	261394
11	1556	257878
12	1652	252624
13	1765	250450
14	1883	249200
15	2012	249585
16	2137	249369
17	2276	250638
18	2414	251702
19	2520	249503
20	2638	248668
21	2748	247096
22	2905	249774
23	3034	249873
24	3181	251300
25	3307	251115
26	3449	252093
27	3570	251490
28	3705	251857
29	3814	250468
30	3922	249126
31	4061	249794
32	4174	248802
33	4294	248308
34	4403	247212
35	4513	246250
36	4655	246991
37	4747	245101
38	4860	244414
39	4960	243079
40	5063	241923
41	5160	240568
42	5235	238254
43	5327	236827
44	5420	235502
45	5498	233549
46	5625	233742
47	5704	231974
48	5837	232445
49	5919	230855
50	6006	229542
51	6094	228303
52	6211	228177
53	6335	228304
54	6420	227051
55	6503	225779
56	6620	225690
57	6750	226027
58	6879	226337
59	7048	227907
60	7150	227301
61	7243	226425
62	7329	225341
63	7418	224406
64	7515	223736
65	7617	223205
66	7708	222399
67	7799	221593
68	7895	220970
69	8008	220803
70	8093	219901
71	8181	219085
72	8289	218813
73	8382	218173
74	8460	217149
75	8566	216870
76	8660	216282
77	8758	215820
78	8857	215380
79	8940	214562
80	9039	214156
81	9158	214220
82	9247	213595
83	9348	213225
84	9431	212484
85	9517	211809
86	9615	211419
87	9706	210892
88	9795	210333
89	9886	209807
90	9974	209235
91	10083	209126
92	10180	208754
93	10291	208684
94	10380	208153
95	10473	207725
96	10576	207489
97	10674	207169
98	10775	206911
99	10864	206426
100	10972	206301
101	11061	205823
102	11147	205307
103	11226	204676
104	11369	205195
105	11485	205224
106	11577	204827
107	11661	204298
108	11758	203992
109	11843	203488
110	11935	203116
111	12028	202764
112	12120	202404
113	12224	202241
114	12318	201922
115	12411	201577
116	12508	201312
117	12636	201538
118	12730	201220
119	12821	200866
120	12923	200695
121	13011	200290
122	13096	199855
123	13194	199626
124	13283	199258
125	13378	198972
126	13462	198544
127	13548	198148
128	13644	197898
129	13733	197556
130	13820	197175
131	13929	197117
132	14016	196759
133	14103	196401
134	14194	196094
135	14272	195615
136	14356	195222
137	14448	194950
138	14526	194484
139	14625	194307
140	14710	193952
141	14800	193652
142	14890	193368
143	14977	193037
144	15067	192760
145	15161	192536
146	15249	192226
147	15344	192012
148	15434	191737
149	15534	191595
150	15622	191302
151	15740	191366
152	15831	191118
153	15919	190824
154	15996	190414
155	16082	190108
