iter	Accuracy	Logloss
0	0.8748793702	0.5893855409
1	0.8782000137	0.5148648305
2	0.8827212559	0.4578057264
3	0.8862546637	0.4146706059
4	0.8870449313	0.3833907156
5	0.8881543453	0.3577933666
6	0.9029262696	0.3189391192
7	0.9081541934	0.2934509426
8	0.9100386775	0.2811404121
9	0.9104262126	0.2716941859
10	0.9124018814	0.258838239
11	0.9139748178	0.2502186712
12	0.914385149	0.2435203047
13	0.9154565695	0.2382725827
14	0.9165963784	0.2329626906
15	0.9171738817	0.2294333938
16	0.9172270727	0.2263500918
17	0.9175842129	0.2242765894
18	0.9183896779	0.2220354548
19	0.918830404	0.2192021539
20	0.919635869	0.2160859934
21	0.9208440665	0.212337224
22	0.9212923914	0.2102708008
23	0.9216495315	0.2084202141
24	0.9221282513	0.206728043
25	0.9227589456	0.2047835408
26	0.9230628947	0.2036148952
27	0.9234656272	0.2020572602
28	0.9238151686	0.2006866399
29	0.9243014871	0.1997825399
30	0.9244914552	0.1989421831
31	0.9246510285	0.1982051957
32	0.9249625763	0.1971193347
33	0.9252969202	0.1961112716
34	0.9255780731	0.1955570543
35	0.9258212324	0.1948821776
36	0.9260491942	0.1942901596
37	0.9267026846	0.1926670449
38	0.9268470604	0.192334853
39	0.9270066337	0.1920181701
40	0.9271890031	0.1914488147
41	0.9273713726	0.1907585625
42	0.9279564745	0.1892099212
43	0.9280628567	0.188866064
44	0.9283820032	0.1882139983
45	0.9285035828	0.187926063
46	0.9286251624	0.1876460232
47	0.9287239459	0.1872064398
48	0.9291114809	0.1858095208
49	0.9293242453	0.1852241666
50	0.9296737867	0.1846824753
51	0.9298181625	0.1839065741
52	0.929970137	0.183385438
53	0.930053723	0.1831281499
54	0.9303120797	0.1826278955
55	0.9303652708	0.182268915
56	0.9304488568	0.1820433723
57	0.9305780351	0.1818211541
58	0.9306008313	0.1815548573
59	0.9307376084	0.1812197862
60	0.9308135956	0.1809100045
61	0.9308819842	0.1806673795
62	0.9309047804	0.1805149152
63	0.9310719523	0.1800611585
64	0.9315126785	0.1794240676
65	0.9316874492	0.1789767668
66	0.9318926148	0.178656893
67	0.9319534046	0.1783548585
68	0.932135774	0.1778839749
69	0.9321205766	0.1777356068
70	0.9321965639	0.1774630916
71	0.9324093282	0.1772262695
72	0.9324473218	0.1770869694
73	0.9325765002	0.1767880516
74	0.93263729	0.1765853941
75	0.9327512709	0.1763280318
76	0.9329032454	0.1760748547
77	0.9330780161	0.1757733841
78	0.9330020289	0.1754847067
79	0.9332071945	0.1752807878
80	0.9333287741	0.1749376133
81	0.9335339397	0.1744505824
82	0.9337239079	0.1742539208
83	0.9338834811	0.1740184642
84	0.9340962455	0.1737385431
85	0.934081048	0.1736197537
86	0.9341874302	0.173417215
87	0.9342330225	0.1732210432
88	0.9342938124	0.1730921319
89	0.9343697996	0.1729534403
90	0.9346129589	0.1725912097
91	0.9349169079	0.1716531676
92	0.9349473028	0.1714790648
93	0.9351144748	0.1712186897
94	0.9353348379	0.1708536688
95	0.9354260226	0.1705024949
96	0.935471615	0.1704049433
97	0.9355627997	0.1702115764
98	0.9356843793	0.1699690109
99	0.9357831627	0.1697677188
100	0.9358211564	0.1696039752
101	0.9358439526	0.1693703737
102	0.9359351373	0.169250946
103	0.9360643156	0.1690414765
104	0.9361023093	0.1688025767
105	0.9362238889	0.1686744669
106	0.936360666	0.1684359084
107	0.9364366532	0.168286071
108	0.936581029	0.1681611521
109	0.9366266214	0.1678200554
110	0.9366266214	0.1676721325
111	0.9367406023	0.1675081514
112	0.9368013921	0.1673394063
113	0.9368925768	0.1670422693
114	0.9369837615	0.1667937969
115	0.9370445513	0.1666689374
116	0.9371281373	0.1664345048
117	0.9372041246	0.1662377542
118	0.9372421182	0.1660978159
119	0.937302908	0.1659411515
120	0.9373712966	0.1658151344
121	0.9374092902	0.1656502776
122	0.9374320864	0.1653656964
123	0.9378728125	0.1645712882
124	0.9379108061	0.1644423621
125	0.9379487998	0.1642092652
126	0.9381463667	0.1640072757
127	0.9382375514	0.1638957139
128	0.9382907425	0.1638012344
129	0.9383667297	0.1636604354
130	0.938442717	0.1635161486
131	0.9384579145	0.1634421649
132	0.9385794941	0.1633111759
133	0.9386554813	0.1629334955
134	0.9387466661	0.1628131625
135	0.9388226533	0.1626656997
136	0.9388682457	0.162551051
137	0.9388910419	0.1624520449
138	0.9389746279	0.162343956
139	0.9390430164	0.1622188738
140	0.9391721947	0.1620482587
141	0.9392329846	0.1619059903
142	0.9392253858	0.1618220778
143	0.9392937744	0.1616015664
144	0.9392937744	0.1613995916
145	0.9393089718	0.1610986108
146	0.9393621629	0.1609718961
147	0.9393697616	0.16066814
148	0.939415354	0.1605460854
149	0.939415354	0.1604652302
150	0.9394381502	0.1602540242
151	0.939415354	0.1601365556
152	0.93949894	0.1600057151
153	0.939582526	0.1598429213
154	0.9396433158	0.1596955624
155	0.9396813094	0.1595800677
156	0.9397345005	0.1594537834
157	0.9398256852	0.15928253
158	0.9398788763	0.1589417895
159	0.9399320674	0.1588606375
160	0.9399624623	0.1586970274
161	0.9400384496	0.15859394
162	0.9400460483	0.158526709
163	0.9401752266	0.1582902877
164	0.9401600292	0.1582133952
165	0.9403272012	0.1580516699
166	0.9404031884	0.1578885051
167	0.9405171693	0.1577739305
168	0.9405931566	0.1576928527
169	0.9406235515	0.1576400623
170	0.9406691439	0.1575260221
171	0.9407451311	0.1573709754
172	0.940859112	0.1571491579
173	0.9408895069	0.1570198015
174	0.9410642776	0.1567768648
175	0.9411402649	0.156668865
176	0.9411782585	0.1565271457
177	0.9411706598	0.1564238654
178	0.9411478636	0.1563132386
179	0.941277042	0.15619764
180	0.9412846407	0.1560020322
181	0.941360628	0.155844225
182	0.9413910229	0.1556270083
183	0.9413910229	0.1555500267
184	0.9415733923	0.1554306584
185	0.941580991	0.1552899187
186	0.9415885898	0.1551735187
187	0.9418545452	0.1549721524
188	0.9419305324	0.1547604567
189	0.9420445133	0.1546005272
190	0.942166093	0.1544833555
191	0.9423104688	0.1543590154
192	0.9423332649	0.1541721342
193	0.9423408637	0.1539214801
194	0.9423332649	0.1538466356
195	0.9423104688	0.1537547682
196	0.9425080357	0.1534832176
197	0.9425080357	0.1533979991
198	0.9425308318	0.1532844931
199	0.9426068191	0.1532018124
200	0.9427056025	0.1530502386
201	0.9428271822	0.152941838
202	0.942971558	0.1527601216
203	0.9428651758	0.1525549115
204	0.9429107682	0.1524978765
205	0.9429563605	0.1524101201
206	0.9429487618	0.1522555781
207	0.9430323478	0.1521858241
208	0.9429867554	0.1520296347
209	0.9430399465	0.1518753894
210	0.9431235325	0.1518023407
211	0.9431995198	0.151698066
212	0.9432451121	0.151587558
213	0.9434198828	0.1515096265
214	0.943442679	0.1514420097
215	0.9434806726	0.1513693617
216	0.9435794561	0.1512515815
217	0.9436630421	0.1511136319
218	0.9437542268	0.1510278495
219	0.9437618255	0.1509056317
220	0.9438226153	0.1508519656
221	0.9438834051	0.1507929716
222	0.9439365962	0.1506355949
223	0.9440657746	0.1505366037
224	0.9439669911	0.1504342286
225	0.9440581758	0.150317235
226	0.944164558	0.150235979
227	0.9442177491	0.1501779349
228	0.9442177491	0.1501116389
229	0.9442861376	0.1500328764
230	0.9443393287	0.1499669663
231	0.9441417618	0.1497690878
232	0.9442101504	0.1496903994
233	0.9442101504	0.1496124828
234	0.9442253478	0.1495193984
235	0.9442709402	0.1494549873
236	0.9443697236	0.1493791039
237	0.9444533096	0.1493038587
238	0.9444685071	0.1492074202
239	0.9444913033	0.1490850985
240	0.9445368956	0.1489449376
241	0.9446128829	0.1488815209
242	0.9446888701	0.1486912114
243	0.9447268638	0.1486291304
244	0.9448484434	0.1483664846
245	0.9449092332	0.1482805833
246	0.9449396281	0.1481514347
247	0.9450232141	0.1480660529
248	0.9450308128	0.1480121791
249	0.945137195	0.1478766635
250	0.9451295963	0.1478443689
251	0.9451068001	0.1477455113
252	0.9452891695	0.1476106191
253	0.9452663734	0.1474389353
254	0.9453347619	0.1473764833
255	0.9454259466	0.147174093
256	0.9454335453	0.1470573961
257	0.9454563415	0.1469634213
258	0.9454639402	0.1469219696
259	0.9454943351	0.1468130793
260	0.9455323288	0.14672326
261	0.9455855199	0.1466408761
262	0.945608316	0.1465958626
263	0.9456615071	0.1464743423
264	0.9457146982	0.146377325
265	0.9457602906	0.1462969744
266	0.945691902	0.1460842842
267	0.9457678893	0.1459517072
268	0.9458666727	0.1458354853
269	0.9459274626	0.1457216083
270	0.9459350613	0.1456787764
271	0.9459122651	0.14557419
272	0.9460186473	0.1455209841
273	0.9460414435	0.1454757776
274	0.9460566409	0.1453349489
275	0.9460338447	0.1452725562
276	0.9461326282	0.1451244553
277	0.9462314116	0.145081564
278	0.9462542078	0.1450245439
279	0.9462618065	0.1449113793
280	0.9463529912	0.1446448005
281	0.9464821696	0.1445774509
282	0.9465581569	0.1444964324
283	0.9464821696	0.1443196136
284	0.9466113479	0.1442477819
285	0.9467025327	0.1440946943
286	0.9467177301	0.1440605594
287	0.9467557237	0.14397261
288	0.9468089148	0.1438799412
289	0.9468697046	0.1438366938
290	0.946831711	0.1437580647
291	0.9468925008	0.1436657521
292	0.946831711	0.1435775356
293	0.9468241123	0.1435032848
294	0.9469000995	0.1434217469
295	0.9472344435	0.1426244297
296	0.9472572397	0.1425248597
297	0.9472648384	0.1424649604
298	0.9473484244	0.1422476991
299	0.9473788193	0.1420955168
300	0.94755359	0.141974145
301	0.9475459913	0.14184933
302	0.9476067811	0.1417695433
303	0.9476751696	0.1415719764
304	0.9477967493	0.1415063484
305	0.9478195454	0.1414404383
306	0.947804348	0.1413989125
307	0.9478347429	0.1413520883
308	0.947887934	0.1412462998
309	0.9478651378	0.1411335507
310	0.947887934	0.141091446
311	0.9479107302	0.1410412084
312	0.9480171123	0.14094756
313	0.9481994818	0.1406936408
314	0.948275469	0.140613498
315	0.9482526729	0.140569746
316	0.9482982652	0.1403911759
317	0.9483742525	0.1403209174
318	0.9483894499	0.1402102609
319	0.948442641	0.1401383402
320	0.9484806346	0.1400762295
321	0.9485642206	0.1400206489
322	0.9486250104	0.1399468879
323	0.9486250104	0.1398837977
324	0.948609813	0.1397325949
325	0.9487085964	0.1396921228
326	0.9487465901	0.1396210776
327	0.9487465901	0.1395748916
328	0.948776985	0.1394394799
329	0.948860571	0.1393720858
330	0.9489517557	0.1392645015
331	0.9490353417	0.1392190427
332	0.9491265264	0.1391479085
333	0.9491721188	0.1390754831
334	0.9491797175	0.139009024
335	0.9491417238	0.1387873994
336	0.94916452	0.1387208066
337	0.9491569213	0.1386787762
338	0.9492177111	0.1385819815
339	0.9493164946	0.1384678225
340	0.9493772844	0.1383129984
341	0.9493924818	0.1382677474
342	0.9494836665	0.1382027872
343	0.9495140614	0.138124737
344	0.9495368576	0.1380555025
345	0.9495596538	0.1380140806
346	0.9495520551	0.1379301087
347	0.94958245	0.1378397848
348	0.9496052462	0.1377731623
349	0.9496736347	0.1376732064
350	0.9496812334	0.1376022504
351	0.9496964309	0.1375466698
352	0.949749622	0.1374583346
353	0.9498408067	0.1373597144
354	0.9498788003	0.1372883577
355	0.9498939978	0.1372376302
356	0.9499015965	0.1371980783
357	0.9499851825	0.137090583
358	0.9500611697	0.1370224913
359	0.9500459723	0.1369585551
360	0.9501751506	0.1368270912
361	0.9501751506	0.1367924517
362	0.9501827494	0.1367270314
363	0.9501447557	0.1366832497
364	0.9501751506	0.1366089692
365	0.9502739341	0.1364703369
366	0.9503119277	0.1364252047
367	0.9503347239	0.1363719097
368	0.9503423226	0.1363362758
369	0.950387915	0.1362938743
370	0.9504563035	0.1362290032
371	0.950555087	0.1361117127
372	0.9505702844	0.1360733035
373	0.9505930806	0.1360235853
374	0.9506006793	0.1359789131
375	0.9507070615	0.1358881439
376	0.9507526539	0.135811652
377	0.9508210424	0.1357507138
378	0.9507906475	0.1356755873
379	0.9507678513	0.1355774569
380	0.9507906475	0.1354831555
381	0.9509350233	0.1353872661
382	0.9509730169	0.1353371175
383	0.9509654182	0.135299955
384	0.9509882144	0.1352437363
385	0.9509958131	0.1351897289
386	0.9510869978	0.1350715331
387	0.9511325902	0.135004035
388	0.9512921634	0.1348367889
389	0.9513453545	0.1347790563
390	0.9513985456	0.1346218577
391	0.9515201252	0.1345604594
392	0.9515049278	0.1344809844
393	0.9515657176	0.1344379893
394	0.9515733163	0.1342842041
395	0.9516189087	0.134253082
396	0.9516189087	0.1341822001
397	0.9516493036	0.1341404962
398	0.9517100934	0.1340654884
399	0.9517328896	0.1340278955
400	0.9517404883	0.1339983317
401	0.9518012781	0.1338471438
402	0.9518012781	0.1338228486
403	0.9518620679	0.1336724324
404	0.9518924628	0.133629556
405	0.9519076603	0.1335456138
406	0.9519304565	0.1334761864
407	0.9519456539	0.1334502291
408	0.9519912463	0.1334083915
409	0.951998845	0.1333821522
410	0.9520140424	0.1332814097
411	0.9520444374	0.1332258588
412	0.9521204246	0.1331029584
413	0.9521432208	0.1330541751
414	0.9521584182	0.1330104231
415	0.9522040106	0.1329624413
416	0.9522344055	0.132920203
417	0.9522420042	0.1328960711
418	0.9522875966	0.132842791
419	0.9522875966	0.1327977626
420	0.9523179915	0.132751265
421	0.9523255902	0.1327228736
422	0.9523407877	0.1326773109
423	0.9524547686	0.1325400293
424	0.9525459533	0.1324623649
425	0.952637138	0.1324362295
426	0.9527359215	0.1323747124
427	0.9527435202	0.1323277102
428	0.952720724	0.132264145
429	0.952720724	0.1322252164
430	0.9527511189	0.1321777837
431	0.9527587176	0.1321441237
432	0.9527891125	0.1320657767
433	0.9528195075	0.1320399381
434	0.9528347049	0.1320022264
435	0.9528650998	0.1319389878
436	0.952971482	0.1318808101
437	0.9529790807	0.1318386312
438	0.9529790807	0.1317575831
439	0.9530170743	0.131709527
440	0.9530626667	0.1316588145
441	0.9530702654	0.1316043767
442	0.9530702654	0.1315704199
443	0.9531462527	0.1314503689
444	0.9531614501	0.1313873381
445	0.9532070425	0.1313524017
446	0.953191845	0.1313250641
447	0.9531842463	0.131266827
448	0.9532982272	0.1311597176
449	0.9533134247	0.1310365945
450	0.9533514183	0.1309813108
451	0.9533362208	0.1309583069
452	0.9533514183	0.1309300936
453	0.9533970107	0.130860592
454	0.9534198068	0.1308231475
455	0.9534653992	0.1307732808
456	0.9534729979	0.1307256701
457	0.9535413865	0.1306551147
458	0.9534957941	0.1305906739
459	0.9534805967	0.1305213504
460	0.9535109916	0.1305000087
461	0.9535793801	0.13043257
462	0.9536477686	0.1303733979
463	0.9536857623	0.1303304472
464	0.9537389534	0.1302487906
465	0.9538073419	0.1301870955
466	0.9538757304	0.1301493393
467	0.9538529342	0.1301198942
468	0.9538681317	0.13006887
469	0.9539517177	0.1299998581
470	0.9539365202	0.1299697897
471	0.9539669151	0.1299362781
472	0.9540201062	0.1298578866
473	0.9540429024	0.1298096525
474	0.9540656986	0.1297815431
475	0.9540505011	0.1297466513
476	0.9541948769	0.1296447661
477	0.9542252718	0.1296023794
478	0.9542176731	0.1295411147
479	0.9542176731	0.1294978969
480	0.9542860617	0.1294126932
481	0.9543164566	0.1293653496
482	0.9543088578	0.1293373293
483	0.9542936604	0.129308656
484	0.9543088578	0.129275278
485	0.9543088578	0.1292226064
486	0.9542860617	0.1291830395
487	0.9543696476	0.1290699937
488	0.9543544502	0.1290144873
489	0.9543620489	0.128982356
490	0.9543544502	0.1289530297
491	0.9544532336	0.1288617114
492	0.9544532336	0.12879359
493	0.9544760298	0.1287569024
494	0.954498826	0.1287059523
495	0.9545292209	0.1286621558
496	0.9545368196	0.1286178694
497	0.9545140234	0.128576774
498	0.9545140234	0.128544138
499	0.9545596158	0.1284751262
500	0.9545596158	0.1284445383
501	0.9545672145	0.1283972541
502	0.9546432018	0.1282937808
503	0.9546583993	0.1281162496
504	0.954665998	0.1280768164
505	0.954749584	0.1280001909
506	0.9547571827	0.127982233
507	0.9548103738	0.1279326038
508	0.9548255712	0.1279007693
509	0.9548483674	0.1278539896
510	0.9548787623	0.1278092136
511	0.9548939598	0.1277666488
512	0.9549395521	0.1277218579
513	0.9549851445	0.127663413
514	0.9549851445	0.127615728
515	0.9550155394	0.1275914032
516	0.9550459343	0.1275454101
517	0.9550383356	0.1275202096
518	0.9550687305	0.1274807467
519	0.9551219216	0.1274130112
520	0.9551295203	0.1273698973
521	0.9551447177	0.1273429753
522	0.9551447177	0.1272659788
523	0.9551979088	0.1272345599
524	0.9552283037	0.127164984
525	0.9552586986	0.1271298548
526	0.9552814948	0.1270968181
527	0.9553118897	0.1270680112
528	0.9553954757	0.1270053366
529	0.955387877	0.1269127419
530	0.9554334694	0.1268817831
531	0.9554866604	0.1268333412
532	0.9555094566	0.1267902867
533	0.9555018579	0.1267174012
534	0.9555018579	0.126673293
535	0.9555018579	0.1266418147
536	0.9554942592	0.1265581545
537	0.9555398515	0.1265185877
538	0.9555246541	0.1264359515
539	0.9555170553	0.1263925705
540	0.9555626477	0.1263399434
541	0.9555778452	0.1263030925
542	0.9555930426	0.1261563421
543	0.9556158388	0.1261248045
544	0.9556310362	0.1260854603
545	0.9556614311	0.1260423612
546	0.9557602146	0.1259561335
547	0.9557450171	0.1258771928
548	0.955775412	0.1258484305
549	0.9558438006	0.1257863791
550	0.9558665968	0.1257626776
551	0.9558665968	0.1257152301
552	0.9558969917	0.1256795369
553	0.955942584	0.1256019468
