iter	Passed	Remaining
0	364	728331
1	650	649937
2	962	640595
3	1252	624964
4	1567	625272
5	1856	617093
6	2190	623685
7	2509	624859
8	2844	629372
9	3184	633643
10	3523	637127
11	3908	647570
12	4290	655840
13	4684	664510
14	5001	661898
15	5367	665596
16	5831	680197
17	6207	683508
18	6642	692558
19	7091	702044
20	7409	698267
21	7795	700875
22	8183	703424
23	8490	699016
24	8796	694927
25	9237	701324
26	9602	701706
27	9947	700609
28	10358	703992
29	10697	702442
30	11141	707657
31	11507	707692
32	11900	709329
33	12329	712940
34	12729	714650
35	13224	721444
36	13595	721281
37	14079	726969
38	14498	729011
39	14797	725062
40	15103	721635
41	15372	716649
42	15861	721886
43	16247	722269
44	16570	719913
45	16869	716598
46	17072	709425
47	17347	705482
48	17844	710516
49	18320	714504
50	18731	715836
51	19153	717525
52	19456	714740
53	19732	711103
54	19981	706635
55	20304	704856
56	20686	705140
57	21000	703142
58	21254	699222
59	21620	699061
60	22005	699496
61	22363	699049
62	22566	693845
63	22863	691614
64	23500	699584
65	23782	696899
66	24010	692726
67	24312	690770
68	24664	690245
69	25005	689437
70	25265	686450
71	25552	684242
72	25978	685749
73	26278	683955
74	26593	682569
75	27014	683885
76	27281	681336
77	27625	680718
78	27897	678367
79	28271	678515
80	28537	676081
81	28901	676008
82	29184	674046
83	29506	673017
84	29767	670655
85	30099	669879
86	30406	668594
87	30858	670462
88	31100	667794
89	31342	665157
90	31564	662155
91	31812	659763
92	32124	658717
93	32423	657431
94	32728	656290
95	33052	655547
96	33300	653301
97	33584	651818
98	33932	651579
99	34258	650912
100	34644	651393
101	34955	650448
102	35191	648146
103	35477	646774
104	35727	644801
105	36060	644327
106	36348	643054
107	36678	642545
108	37017	642206
109	37255	640120
110	37707	641704
111	37982	640283
112	38318	639887
113	38587	638390
114	38859	636953
115	39137	635649
116	39497	635671
117	39764	634203
118	40356	637900
119	40645	636778
120	40941	635774
121	41182	633943
122	41481	633010
123	41878	633587
124	42146	632191
125	42405	630698
126	42687	629558
127	42967	628406
128	43247	627250
129	43476	625389
130	43711	623638
131	43991	622542
132	44298	621842
133	44821	624160
134	45098	623032
135	45427	622623
136	45679	621171
137	45924	619642
138	46181	618296
139	46459	617249
140	46754	616425
141	47059	615753
142	47358	614993
143	47592	613409
144	47850	612153
145	48094	610740
146	48446	610688
147	48775	610346
148	49056	609423
149	49363	608819
150	49663	608127
151	49974	607585
152	50261	606749
153	50541	605839
154	50798	604668
155	51136	604456
156	51535	604965
157	51814	604068
158	52128	603580
159	52412	602747
160	52654	601435
161	52925	600476
162	53177	599302
163	53463	598531
164	53770	597997
165	54041	597065
166	54330	596332
167	54630	595729
168	54901	594823
169	55150	593675
170	55460	593204
171	55749	592496
172	56012	591527
173	56353	591384
174	56624	590508
175	56903	589724
176	57161	588729
177	57448	588038
178	57714	587145
179	58036	586817
180	58394	586850
181	58704	586398
182	58965	585462
183	59224	584524
184	59496	583712
185	59773	582951
186	60089	582576
187	60343	581605
188	60595	580622
189	60987	580984
190	61290	580493
191	61618	580242
192	61940	579925
193	62450	581373
194	62837	581650
195	63151	581253
196	63421	580452
197	63745	580148
198	64099	580116
199	64439	579954
200	64739	579432
201	65028	578821
202	65370	578677
203	65653	578004
204	65958	577538
205	66275	577173
206	66570	576626
207	66870	576114
208	67227	576102
209	67509	575441
210	67766	574571
211	68028	573748
212	68385	573734
213	68686	573240
214	68966	572584
215	69291	572293
216	69602	571897
217	69962	571893
218	70354	572156
219	70631	571472
220	70904	570764
221	71277	570865
222	71565	570275
223	71879	569900
224	72223	569761
225	72597	569854
226	72875	569199
227	73176	568718
228	73484	568303
229	73761	567644
230	74038	566986
231	74321	566378
232	74645	566091
233	74923	565452
234	75217	564934
235	75597	565057
236	75941	564911
237	76251	564518
238	76572	564201
239	76902	563954
240	77261	563914
241	77714	564557
242	77983	563856
243	78262	563234
244	78555	562713
245	78864	562307
246	79179	561948
247	79521	561777
248	79792	561113
249	80096	560672
250	80390	560168
251	80780	560336
252	81056	559707
253	81345	559171
254	81653	558766
255	81946	558258
256	82233	557716
257	82493	556992
258	82791	556524
259	83080	556000
260	83360	555415
261	83678	555091
262	84034	555010
263	84328	554522
264	84624	554048
265	84915	553549
266	85305	553687
267	85658	553580
268	85943	553039
269	86285	552867
270	86600	552516
271	86952	552401
272	87246	551924
273	87532	551388
274	87814	550834
275	88075	550154
276	88430	550055
277	88756	549781
278	89069	549424
279	89330	548743
280	89656	548468
281	90004	548324
282	90306	547903
283	90618	547539
284	90940	547239
285	91286	547083
286	91563	546511
287	91996	546867
288	92327	546614
289	92609	546075
290	92905	545617
291	93224	545300
292	93540	544959
293	93893	544840
294	94166	544249
295	94468	543830
296	94830	543757
297	95098	543146
298	95375	542590
299	95653	542035
300	95989	541817
301	96369	541840
302	96645	541277
303	96950	540883
304	97292	540692
305	97591	540260
306	97885	539807
307	98233	539644
308	98563	539385
309	98819	538724
310	99131	538370
311	99439	537995
312	99732	537534
313	100017	537038
314	100341	536745
315	100633	536288
316	101033	536403
317	101310	535860
318	101588	535328
319	101865	534791
320	102179	534453
321	102492	534107
322	102784	533652
323	103079	533211
324	103453	533181
325	103754	532776
326	104116	532682
327	104431	532344
328	104710	531825
329	104986	531294
330	105254	530726
331	105557	530329
332	105889	530083
333	106194	529700
334	106476	529203
335	106766	528749
336	107060	528314
337	107365	527930
338	107677	527589
339	108006	527327
340	108295	526868
341	108635	526660
342	108902	526099
343	109226	525809
344	109527	525416
345	109849	525118
346	110134	524647
347	110429	524220
348	110931	524777
349	111203	524242
350	111553	524079
351	112098	524823
352	112400	524430
353	112750	524258
354	113070	523945
355	113376	523570
356	113640	523002
357	113928	522544
358	114278	522371
359	114687	522466
360	115008	522157
361	115379	522076
362	115677	521663
363	115970	521230
364	116243	520708
365	116614	520624
366	116935	520315
367	117272	520076
368	117534	519508
369	117829	519087
370	118162	518832
371	118501	518603
372	118776	518093
373	119105	517821
374	119422	517495
375	119756	517244
376	120037	516767
377	120367	516499
378	120655	516049
379	120961	515677
380	121275	515341
381	121537	514784
382	121898	514647
383	122164	514109
384	122461	513700
385	122825	513575
386	123121	513163
387	123446	512875
388	123765	512561
389	124108	512344
390	124388	511868
391	124679	511441
392	124990	511093
393	125273	510632
394	125617	510418
395	125923	510052
396	126211	509614
397	126486	509124
398	126820	508871
399	127096	508385
400	127393	507984
401	127685	507566
402	128020	507317
403	128314	506907
404	128647	506647
405	128973	506363
406	129279	506001
407	129567	505566
408	129950	505505
409	130244	505093
410	130559	504764
411	130874	504440
412	131206	504175
413	131578	504065
414	131905	503784
415	132211	503418
416	132488	502947
417	132792	502579
418	133127	502326
419	133459	502060
420	133756	501665
421	134105	501464
422	134418	501129
423	134707	500706
424	135039	500439
425	135326	500008
426	135658	499745
427	135970	499406
428	136242	498918
429	136538	498522
430	136837	498139
431	137288	498307
432	137628	498070
433	137952	497772
434	138308	497593
435	138600	497181
436	138921	496873
437	139202	496425
438	139499	496035
439	139814	495707
440	140095	495259
441	140403	494906
442	140716	494572
443	141015	494187
444	141359	493962
445	141659	493583
446	141951	493177
447	142323	493048
448	142696	492922
449	143049	492726
450	143323	492257
451	143714	492191
452	144005	491781
453	144302	491392
454	144585	490954
455	144928	490722
456	145224	490329
457	145564	490087
458	145865	489714
459	146144	489267
460	146429	488839
461	146742	488506
462	147031	488093
463	147383	487890
464	147721	487640
465	147999	487192
466	148323	486895
467	148643	486584
468	148959	486263
469	149276	485943
470	149557	485506
471	149831	485047
472	150117	484628
473	150410	484231
474	150772	484059
475	151109	483803
476	151444	483543
477	151743	483165
478	152023	482728
479	152511	482953
480	152832	482645
481	153102	482177
482	153473	482027
483	153757	481604
484	154090	481335
485	154376	480916
486	154688	480583
487	154954	480105
488	155291	479848
489	155578	479436
490	155883	479080
491	156163	478647
492	156471	478302
493	156750	477865
494	157045	477480
495	157410	477309
496	157763	477099
497	158042	476667
498	158321	476232
499	158630	475891
500	158913	475470
501	159201	475068
502	159480	474637
503	159782	474274
504	160073	473880
505	160415	473638
506	160712	473261
507	161013	472897
508	161345	472624
509	161631	472217
510	161904	471772
511	162176	471324
512	162512	471064
513	162813	470703
514	163171	470504
515	163473	470145
516	163752	469718
517	164017	469255
518	164271	468760
519	164715	468805
520	165030	468484
521	165324	468101
522	165590	467643
523	165903	467314
524	166190	466914
525	166483	466533
526	166786	466178
527	167197	466126
528	167507	465790
529	167827	465483
530	168108	465069
531	168405	464697
532	168696	464312
533	168979	463903
534	169271	463518
535	169565	463140
536	169851	462742
537	170223	462578
538	170524	462219
539	170811	461823
540	171115	461473
541	171408	461096
542	171712	460745
543	171986	460317
544	172279	459939
545	172566	459544
546	172874	459208
547	173141	458762
548	173442	458406
549	173751	458071
550	174013	457615
551	174294	457207
552	174610	456893
553	174900	456509
554	175195	456138
555	175515	455834
556	175792	455418
557	176077	455025
558	176396	454718
559	176740	454476
560	177089	454246
561	177367	453832
562	177622	453362
563	177927	453022
564	178269	452772
565	178560	452395
566	178907	452160
567	179170	451711
568	179512	451462
569	179780	451027
570	180074	450659
571	180369	450293
572	180670	449941
573	181072	449840
574	181397	449549
575	181693	449187
576	181994	448834
577	182289	448468
578	182594	448128
579	182897	447784
580	183196	447428
581	183502	447090
582	183769	446658
583	184053	446266
584	184452	446153
585	184780	445869
586	185039	445419
587	185308	444991
588	185584	444583
589	185873	444207
590	186225	443978
591	186691	444022
592	187031	443765
593	187333	443420
594	187665	443142
595	187964	442788
596	188251	442407
597	188551	442054
598	188852	441706
599	189146	441342
600	189438	440972
601	189763	440679
602	190130	440484
603	190495	440284
604	190799	439942
605	191073	439532
606	191338	439101
607	191683	438854
608	191988	438514
609	192358	438324
610	192641	437935
611	192938	437578
612	193213	437173
613	193543	436891
614	193889	436645
615	194160	436230
616	194450	435858
617	194740	435486
618	195036	435129
619	195323	434751
620	195683	434536
621	196001	434227
622	196297	433870
623	196694	433737
624	197002	433405
625	197317	433089
626	197651	432816
627	198031	432642
628	198328	432286
629	198602	431881
630	198925	431583
631	199211	431205
632	199513	430861
633	199829	430546
634	200134	430211
635	200416	429823
636	200699	429439
637	201024	429146
638	201319	428789
639	201648	428502
640	201946	428151
641	202298	427915
642	202659	427697
643	202934	427297
644	203250	426983
645	203586	426711
646	203909	426414
647	204236	426123
648	204565	425837
649	204893	425548
650	205197	425210
651	205491	424850
652	205782	424484
653	206066	424107
654	206405	423839
655	206696	423475
656	206977	423090
657	207258	422707
658	207578	422401
659	207912	422126
660	208188	421731
661	208556	421522
662	208862	421190
663	209146	420813
664	209431	420437
665	209727	420085
666	210085	419856
667	210418	419577
668	210694	419183
669	211008	418866
670	211356	418618
671	211645	418252
672	211952	417921
673	212227	417528
674	212512	417154
675	212793	416774
676	213373	416977
677	213656	416599
678	213955	416251
679	214263	415922
680	214530	415515
681	214819	415150
682	215127	414820
683	215459	414538
684	215746	414169
685	216054	413841
686	216343	413476
687	216630	413110
688	216920	412747
689	217231	412425
690	217565	412146
691	217857	411788
692	218132	411399
693	218412	411018
694	218673	410602
695	218955	410227
696	219248	409871
697	219539	409513
698	219821	409138
699	220615	409715
700	220922	409384
701	221260	409110
702	221622	408883
703	221933	408559
704	222264	408272
705	222680	408142
706	223021	407873
707	223305	407501
708	223600	407149
709	223906	406816
710	224208	406476
711	224543	406197
712	224871	405904
713	225208	405626
714	225514	405295
715	225869	405051
716	226189	404743
717	226528	404469
718	226881	404221
719	227207	403924
720	227509	403585
721	227988	403559
722	228292	403221
723	228613	402915
724	228945	402628
725	229272	402332
726	229604	402044
727	229904	401700
728	230192	401336
729	230536	401070
730	230879	400801
731	231188	400473
732	231476	400110
733	231772	399760
734	232058	399393
735	232359	399051
736	232628	398655
737	232910	398283
738	233169	397871
739	233474	397537
740	233890	397392
741	234154	396990
742	234442	396627
743	234748	396295
744	235013	395895
745	235303	395536
746	235604	395197
747	235895	394841
748	236185	394482
749	236515	394192
750	236795	393818
751	237142	393556
752	237453	393233
753	237727	392848
754	238011	392482
755	238321	392158
756	238669	391896
757	238970	391557
758	239258	391199
759	239539	390827
760	239841	390491
761	240123	390121
762	240506	389916
763	240872	389683
764	241150	389307
765	241492	389035
766	241777	388672
767	242072	388324
768	242341	387935
769	242637	387589
770	242954	387277
771	243224	386890
772	243524	386552
773	243817	386202
774	244131	385884
775	244436	385554
776	244744	385228
777	245011	384838
778	245317	384509
779	245596	384137
780	245944	383874
781	246217	383495
782	246565	383231
783	246846	382863
784	247218	382636
785	247553	382353
786	247865	382033
787	248205	381757
788	248534	381464
789	248820	381104
790	249218	380917
791	249500	380550
792	249878	380331
793	250231	380075
794	250580	379811
795	250876	379466
796	251155	379096
797	251483	378800
798	251766	378436
799	252107	378161
800	252399	377811
801	252706	377484
802	252998	377134
803	253271	376757
804	253547	376384
805	253856	376060
806	254180	375758
807	254498	375448
808	254768	375067
809	255090	374761
810	255417	374464
811	255745	374169
812	256078	373880
813	256389	373560
814	256732	373286
815	257025	372938
816	257321	372595
817	257738	372428
818	258032	372083
819	258322	371732
820	258826	371689
821	259178	371426
822	259505	371127
823	259804	370788
824	260122	370478
825	260483	370227
826	260836	369965
827	261143	369638
828	261432	369285
829	261743	368963
830	262026	368602
831	262631	368694
832	262934	368360
833	263236	368026
834	263611	367793
835	263943	367499
836	264230	367145
837	264573	366866
838	264879	366538
839	265192	366218
840	265511	365906
841	265835	365603
842	266114	365237
843	266414	364899
844	266685	364522
845	267025	364240
846	267354	363943
847	267679	363640
848	268045	363392
849	268362	363078
850	268696	362787
851	268998	362453
852	269291	362106
853	269628	361820
854	269966	361534
855	270340	361296
856	270655	360979
857	270952	360638
858	271254	360304
859	271579	360000
860	271849	359624
861	272158	359299
862	272468	358975
863	272793	358672
864	273111	358359
865	273399	358007
866	273718	357697
867	274006	357345
868	274317	357023
869	274659	356741
870	275021	356485
871	275423	356281
872	275720	355942
873	276054	355648
874	276423	355401
875	276801	355165
876	277103	354831
877	277431	354531
878	277717	354176
879	278070	353908
880	278389	353595
881	278699	353272
882	279014	352954
883	279324	352630
884	279645	352322
885	279934	351972
886	280256	351663
887	280608	351392
888	280955	351115
889	281241	350762
890	281520	350399
891	281832	350079
892	282111	349717
893	282440	349417
894	282879	349253
895	283194	348936
896	283502	348609
897	283867	348354
898	284167	348018
899	284455	347668
900	284755	347331
901	285167	347133
902	285501	346838
903	285781	346478
904	286093	346157
905	286461	345903
906	286789	345601
907	287107	345288
908	287405	344950
909	287719	344631
910	288052	344335
911	288383	344036
912	288661	343674
913	288977	343358
914	289329	343084
915	289620	342738
916	289978	342471
917	290297	342159
918	290627	341858
919	290932	341529
920	291278	341247
921	291606	340945
922	291883	340583
923	292203	340271
924	292545	339985
925	292854	339660
926	293192	339369
927	293534	339083
928	293835	338749
929	294132	338410
930	294464	338111
931	294826	337848
932	295132	337520
933	295464	337221
934	295736	336855
935	296033	336516
936	296354	336205
937	296696	335918
938	296999	335587
939	297347	335306
940	297664	334991
941	297995	334691
942	298334	334400
943	298694	334132
944	299000	333805
945	299311	333482
946	299651	333191
947	299981	332891
948	300349	332631
949	300619	332263
950	300933	331945
951	301310	331694
952	301627	331378
953	301933	331050
954	302282	330769
955	302598	330452
956	302899	330119
957	303199	329784
958	303510	329462
959	303866	329188
960	304194	328884
961	304498	328554
962	304840	328265
963	305148	327939
964	305497	327657
965	305824	327352
966	306109	327001
967	306435	326695
968	306748	326374
969	307077	326071
970	307441	325805
971	307769	325501
972	308058	325155
973	308408	324873
974	308795	324631
975	309084	324285
976	309393	323961
977	309694	323627
978	310006	323305
979	310316	322982
980	310700	322735
981	310987	322388
982	311287	322054
983	311606	321740
984	311989	321491
985	312325	321195
986	312670	320906
987	312966	320569
988	313327	320296
989	313618	319954
990	313933	319636
991	314265	319333
992	314548	318982
993	314878	318680
994	315196	318363
995	315534	318068
996	315831	317732
997	316205	317473
998	316594	317228
999	316900	316900
1000	317201	316567
1001	317523	316256
1002	317877	315976
1003	318195	315660
1004	318529	315359
1005	318856	315053
1006	319237	314799
1007	319581	314508
1008	319913	314206
1009	320204	313863
1010	320495	313521
1011	320890	313280
1012	321234	312989
1013	321574	312695
1014	321896	312382
1015	322275	312124
1016	322579	311795
1017	322901	311482
1018	323229	311175
1019	323524	310837
1020	323828	310507
1021	324111	310157
1022	324484	309893
1023	324781	309557
1024	325205	309342
1025	325524	309026
1026	325857	308723
1027	326182	308413
1028	326485	308082
1029	326807	307769
1030	327109	307438
1031	327426	307120
1032	327758	306817
1033	328152	306571
1034	328426	306214
1035	328770	305921
1036	329069	305586
1037	329386	305269
1038	329939	305169
1039	330262	304857
1040	330546	304509
1041	330855	304183
1042	331144	303839
1043	331502	303559
1044	331791	303216
1045	332076	302868
1046	332411	302567
1047	332735	302255
1048	333041	301928
1049	333397	301645
1050	333758	301367
1051	334162	301127
1052	334460	300792
1053	334747	300446
1054	335046	300112
1055	335374	299804
1056	335672	299468
1057	335958	299123
1058	336300	298827
1059	336617	298509
1060	336916	298175
1061	337228	297853
1062	337513	297506
1063	337896	297247
1064	338208	296925
1065	338574	296649
1066	338879	296321
1067	339193	295999
1068	339531	295700
1069	339855	295388
1070	340179	295076
1071	340498	294760
1072	340901	294516
1073	341299	294267
1074	341644	293972
1075	341966	293659
1076	342308	293361
1077	342608	293028
1078	342919	292704
1079	343226	292377
1080	344354	292749
1081	344728	292477
1082	345026	292141
1083	345403	291871
1084	345732	291562
1085	346103	291287
1086	346420	290967
1087	346743	290652
1088	347072	290342
1089	347365	290002
1090	347673	289674
1091	348445	289732
1092	348778	289425
1093	349088	289099
1094	349468	288830
1095	349786	288510
1096	350148	288226
1097	350533	287960
1098	350898	287679
1099	351260	287394
1100	351647	287131
1101	352067	286893
1102	352420	286601
1103	352794	286325
1104	353152	286037
1105	353515	285753
1106	353866	285458
1107	354200	285150
1108	354510	284823
1109	354880	284543
1110	355268	284279
1111	355621	283985
1112	355961	283681
1113	356319	283392
1114	356673	283099
1115	356976	282766
1116	357368	282503
1117	357685	282181
1118	358021	281873
1119	358347	281558
1120	358682	281250
1121	359051	280968
1122	359462	280720
1123	359825	280433
1124	360175	280136
1125	360504	279823
1126	360866	279535
1127	361266	279277
1128	361659	279012
1129	361983	278695
1130	362358	278416
1131	362717	278125
1132	363060	277823
1133	363379	277501
1134	363684	277168
1135	363991	276838
1136	364280	276494
1137	364574	276154
1138	364887	275828
1139	365156	275469
1140	365457	275134
1141	365748	274792
1142	366042	274451
1143	366319	274099
1144	366602	273751
1145	366885	273403
1146	367195	273075
1147	367516	272756
1148	367828	272429
1149	368098	272073
1150	368422	271755
1151	368743	271436
1152	369066	271118
1153	369351	270772
1154	369674	270454
1155	369973	270118
1156	370267	269780
1157	370556	269437
1158	370852	269099
1159	371435	268970
1160	371720	268625
1161	372013	268285
1162	372313	267950
1163	372623	267622
1164	373023	267360
1165	373339	267037
1166	373684	266734
1167	374017	266423
1168	374360	266119
1169	374676	265796
1170	374978	265462
1171	375253	265110
1172	375992	265085
1173	376385	264816
1174	376769	264540
1175	377097	264224
1176	377408	263897
1177	377771	263605
1178	378121	263305
1179	378429	262976
1180	378738	262647
1181	379042	262315
1182	379363	261995
1183	379764	261729
1184	380254	261525
1185	380609	261227
1186	380993	260950
1187	381336	260643
1188	381661	260326
1189	381977	260001
1190	382315	259692
1191	382617	259358
1192	382931	259032
1193	383282	258731
1194	383606	258412
1195	383993	258136
1196	384337	257830
1197	384636	257494
1198	384944	257164
1199	385277	256851
1200	385592	256526
1201	385941	256223
1202	386239	255887
1203	386575	255576
1204	386916	255268
1205	387211	254930
1206	387560	254627
1207	387840	254279
1208	388204	253986
1209	388514	253658
1210	388844	253342
1211	389177	253029
1212	389489	252702
1213	389924	252455
1214	390307	252173
1215	390604	251837
1216	390909	251505
1217	391255	251200
1218	391559	250868
1219	391892	250553
1220	392193	250219
1221	393140	250297
1222	393460	249974
1223	393744	249628
1224	394031	249285
1225	394309	248936
1226	394704	248660
1227	395073	248368
1228	395415	248059
1229	395758	247751
1230	396095	247439
1231	396514	247178
1232	396833	246854
1233	397122	246511
1234	397444	246190
1235	397760	245864
1236	398101	245554
1237	398393	245214
1238	398690	244877
1239	399101	244610
1240	399427	244291
1241	399744	243966
1242	400054	243637
1243	401127	243771
1244	401415	243428
1245	401718	243094
1246	402003	242749
1247	402340	242435
1248	402673	242120
1249	402991	241794
1250	403387	241516
1251	403720	241200
1252	404047	240880
1253	404426	240591
1254	404736	240262
1255	405104	239966
1256	405422	239641
1257	405725	239306
1258	406010	238962
1259	406352	238651
1260	406678	238330
1261	407075	238051
1262	407391	237725
1263	407760	237430
1264	408057	237092
1265	408394	236778
1266	408715	236454
1267	409059	236144
1268	409411	235839
1269	409756	235529
1270	410038	235183
1271	410340	234848
1272	410651	234519
1273	410925	234169
1274	411246	233846
1275	411534	233504
1276	411861	233184
1277	412265	232907
1278	412569	232574
1279	412903	232258
1280	413253	231950
1281	413555	231616
1282	413879	231294
1283	414184	230962
1284	414483	230627
1285	414850	230328
1286	415189	230015
1287	415506	229689
1288	415822	229363
1289	416170	229055
1290	416474	228722
1291	416815	228409
1292	417125	228080
1293	417421	227742
1294	417801	227451
1295	418118	227126
1296	418422	226793
1297	418766	226482
1298	419097	226164
1299	419426	225844
1300	419818	225559
1301	420157	225245
1302	420450	224907
1303	420739	224566
1304	421107	224267
1305	421458	223960
1306	421746	223619
1307	422051	223287
1308	422368	222961
1309	422681	222633
1310	423005	222312
1311	423310	221979
1312	423617	221649
1313	423965	221339
1314	424292	221019
1315	424599	220688
1316	424922	220366
1317	425205	220022
1318	425533	219703
1319	425853	219379
1320	426175	219056
1321	426468	218718
1322	426796	218398
1323	427143	218088
1324	427464	217765
1325	427824	217461
1326	428131	217130
1327	428465	216813
1328	429491	216846
1329	429881	216556
1330	430207	216234
1331	430555	215924
1332	430875	215599
1333	431325	215339
1334	431626	215005
1335	431989	214701
1336	432340	214391
1337	432672	214072
1338	433008	213755
1339	433372	213452
1340	433724	213142
1341	434039	212815
1342	434395	212507
1343	434737	212193
1344	435126	211901
1345	435501	211603
1346	435856	211294
1347	436219	210990
1348	436519	210655
1349	436835	210328
1350	437180	210014
1351	437499	209689
1352	437885	209395
1353	438264	209098
1354	438583	208772
1355	438930	208459
1356	439475	208240
1357	439827	207930
1358	440118	207590
1359	440448	207270
1360	440788	206953
1361	441105	206626
1362	441451	206312
1363	441851	206024
1364	442165	205696
1365	442491	205373
1366	442799	205041
1367	443118	204715
1368	443443	204392
1369	443796	204081
1370	444178	203784
1371	444642	203524
1372	445000	203215
1373	445329	202894
1374	445660	202573
1375	446031	202270
1376	446429	201979
1377	446740	201649
1378	447066	201325
1379	447398	201005
1380	447714	200677
1381	448107	200383
1382	448434	200060
1383	448775	199744
1384	449117	199427
1385	449431	199098
1386	449778	198784
1387	450145	198479
1388	450441	198142
1389	450730	197802
1390	451111	197503
1391	451582	197243
1392	451924	196925
1393	452273	196612
1394	452588	196284
1395	452954	195977
1396	453287	195656
1397	453630	195340
1398	453975	195024
1399	454342	194718
1400	454651	194387
1401	454983	194065
1402	455366	193766
1403	455717	193452
1404	456035	193125
1405	456544	192878
1406	456931	192580
1407	457303	192275
1408	457619	191946
1409	457944	191622
1410	458269	191297
1411	458605	190977
1412	459036	190696
1413	459377	190378
1414	459749	190073
1415	460053	189739
1416	460410	189427
1417	460801	189130
1418	461128	188806
1419	461494	188497
1420	461798	188164
1421	462127	187840
1422	462423	187503
1423	462771	187188
1424	463106	186867
1425	463436	186544
1426	463799	186234
1427	464100	185900
1428	464434	185578
1429	464766	185256
1430	465128	184946
1431	465464	184625
